saleprice,id,half_bath,gr_liv_area,lot_area,neighborhood,overall_qual,fireplace_qu,heating_qc,mas_vnr_area,year_built,porch_space,garage_total,bsmt_total
209500,1720,0,1554,4590,3,8,4.0,5.0,108.0,116,229,72732.0,0.0
545224,2331,1,3390,18062,3,10,5.0,5.0,662.0,116,238,87928.0,0.0
159900,204,1,1560,12900,2,6,0.0,5.0,0.0,22,512,0.0,0.0
141000,19,0,864,19138,2,4,0.0,5.0,0.0,61,0,24400.0,0.0
215000,2438,1,1889,8658,2,6,3.0,5.0,0.0,110,0,47410.0,0.0
127000,89,1,1040,6897,2,5,0.0,5.0,0.0,72,104,18720.0,1040.0
128000,240,0,1172,9525,2,5,0.0,3.0,0.0,64,240,23424.0,1172.0
267916,105,1,1418,12853,2,8,4.0,5.0,0.0,120,576,102240.0,1642.0
127500,2020,0,1367,6240,2,6,4.0,3.0,0.0,41,120,49280.0,0.0
198500,888,0,1922,7301,2,7,5.0,5.0,500.0,113,177,75936.0,0.0
175500,1019,0,1422,12090,2,6,3.0,3.0,210.0,91,276,52416.0,0.0
217500,2132,1,1842,8826,2,7,3.0,5.0,144.0,110,289,53460.0,985.0
149500,203,1,1962,8094,2,4,3.0,5.0,0.0,25,524,14300.0,0.0
148800,420,0,1120,10710,2,5,3.0,5.0,165.0,76,162,49856.0,0.0
556581,2333,1,2868,16056,3,9,4.0,5.0,208.0,115,322,82340.0,0.0
156500,632,1,1478,8400,2,6,4.0,4.0,0.0,67,330,29614.0,1478.0
237000,2800,1,1995,11250,2,7,3.0,5.0,0.0,105,445,64050.0,930.0
120000,1885,0,912,7535,2,5,0.0,2.0,0.0,68,297,20196.0,0.0
203000,1734,0,1326,12216,2,6,0.0,5.0,0.0,115,143,44620.0,1326.0
130000,2327,0,1204,3701,3,8,0.0,3.0,0.0,97,190,44717.0,0.0
167900,1282,1,1611,9760,2,6,0.0,3.0,360.0,74,645,32708.0,780.0
129000,2688,0,960,9873,2,4,0.0,3.0,160.0,80,288,46080.0,960.0
134450,2581,0,1236,10011,2,5,2.0,3.0,64.0,67,0,29949.0,0.0
112000,2067,0,1416,25339,2,5,0.0,5.0,0.0,28,112,67392.0,0.0
207000,2115,1,1873,8883,2,7,3.0,5.0,360.0,98,300,60662.0,929.0
62500,754,0,2128,3000,2,5,0.0,3.0,0.0,32,56,0.0,0.0
154000,1079,1,1626,2448,3,7,0.0,5.0,106.0,113,27,53562.0,764.0
129900,2615,0,816,7100,2,5,0.0,3.0,0.0,67,0,20636.0,816.0
85000,329,1,1112,2592,1,5,0.0,3.0,0.0,86,182,28896.0,0.0
116900,1320,0,1111,5700,2,7,4.0,3.0,0.0,36,176,26496.0,0.0
148500,416,1,1441,2289,2,6,3.0,3.0,0.0,88,28,38720.0,0.0
80000,284,0,924,12180,2,4,0.0,2.0,0.0,51,0,14280.0,672.0
152000,1385,0,1126,7400,2,5,0.0,3.0,0.0,94,178,47564.0,1060.0
155891,275,0,992,8842,2,5,0.0,5.0,0.0,64,116,20416.0,0.0
165000,2024,0,1376,8850,2,6,0.0,5.0,0.0,30,198,50112.0,0.0
204500,68,0,1218,9215,2,7,0.0,5.0,0.0,119,136,80444.0,0.0
146500,1910,1,1644,9480,2,5,4.0,5.0,224.0,52,168,16224.0,0.0
157000,381,0,1601,11880,2,7,3.0,3.0,206.0,88,0,42064.0,0.0
184000,1323,0,2495,10800,2,7,4.0,4.0,0.0,0,299,20520.0,0.0
183200,2432,1,1509,7861,2,6,4.0,5.0,0.0,112,175,44016.0,783.0
139000,777,0,1092,11616,2,5,1.0,3.0,116.0,72,164,20736.0,0.0
341000,1107,1,2418,10542,3,7,3.0,5.0,651.0,103,620,101249.0,1311.0
96000,30,1,987,1680,1,6,0.0,3.0,504.0,81,275,21384.0,0.0
140000,282,0,1121,8546,2,4,0.0,5.0,0.0,113,196,49720.0,0.0
149700,188,0,1236,7407,2,6,0.0,3.0,0.0,67,316,61841.0,912.0
153500,2356,1,1074,10140,2,5,0.0,5.0,0.0,85,88,42075.0,1056.0
13100,1554,0,733,14584,1,1,0.0,1.0,0.0,62,0,30194.0,0.0
224900,1464,1,1768,8158,2,7,0.0,5.0,252.0,113,63,61359.0,884.0
176000,2469,0,1266,7500,2,7,3.0,5.0,0.0,115,182,52095.0,0.0
285000,1834,1,2872,10678,3,8,3.0,5.0,337.0,102,33,55182.0,0.0
282922,1779,0,1464,15256,2,8,0.0,5.0,84.0,117,328,88218.0,1485.0
226000,2569,1,2157,14200,2,7,4.0,5.0,309.0,76,171,37012.0,0.0
361919,2334,1,2576,12438,3,8,4.0,5.0,466.0,116,424,77256.0,0.0
457347,2330,1,2798,16023,3,9,4.0,5.0,600.0,115,219,77050.0,1398.0
279000,2119,1,1743,20064,2,8,2.0,5.0,0.0,86,646,45494.0,1932.0
196000,988,0,1567,9819,2,6,3.0,3.0,0.0,87,296,62118.0,1567.0
152000,382,0,1370,10400,2,7,3.0,3.0,189.0,86,0,41194.0,0.0
200000,670,2,2634,11643,2,5,0.0,3.0,368.0,79,0,76472.0,1248.0
294900,2760,1,1590,11645,2,8,0.0,5.0,198.0,115,256,86710.0,1570.0
224243,543,0,1450,7328,2,7,0.0,5.0,140.0,118,93,92984.0,0.0
92000,2835,0,1338,7822,2,6,0.0,3.0,0.0,25,208,44352.0,0.0
179540,1735,1,1456,9018,2,7,4.0,5.0,0.0,117,124,46800.0,0.0
386250,448,0,2392,13472,3,10,5.0,5.0,922.0,113,353,109384.0,0.0
106500,2287,0,992,1533,1,4,0.0,3.0,0.0,80,209,23760.0,530.0
310000,524,1,2007,11003,2,10,5.0,5.0,160.0,118,220,95816.0,1017.0
252000,1767,1,2385,10790,3,7,3.0,5.0,275.0,108,158,64800.0,0.0
164000,2206,0,1646,7128,2,7,4.0,4.0,0.0,51,126,12240.0,0.0
177594,1740,1,1456,7713,2,7,0.0,5.0,16.0,117,124,46800.0,0.0
123900,199,0,1040,6240,2,5,0.0,4.0,0.0,46,338,55536.0,0.0
239000,2214,1,2624,22420,2,6,4.0,3.0,0.0,28,0,24192.0,1370.0
169000,323,0,1264,15300,2,5,3.0,3.0,0.0,75,0,39600.0,1068.0
234000,2421,0,1557,3196,2,7,3.0,5.0,18.0,113,163,47460.0,0.0
173000,952,1,1287,9360,2,6,2.0,3.0,0.0,87,461,47067.0,957.0
149000,24,0,1004,11241,2,6,3.0,5.0,180.0,80,0,38400.0,1004.0
170000,1139,0,1162,9260,2,7,0.0,5.0,0.0,117,32,56511.0,0.0
225000,518,0,1436,7993,2,7,0.0,5.0,0.0,118,121,62422.0,0.0
144900,1390,0,960,9239,2,5,0.0,5.0,0.0,73,168,21900.0,960.0
144000,277,0,1196,10044,2,5,0.0,3.0,0.0,78,425,26208.0,1196.0
192000,54,0,1269,3182,2,8,3.0,5.0,16.0,114,310,49020.0,0.0
145500,649,0,1031,7626,2,5,0.0,4.0,0.0,62,0,14260.0,1031.0
86900,2600,0,720,7008,2,4,0.0,5.0,0.0,10,70,2800.0,0.0
149500,617,0,1505,12160,2,6,3.0,5.0,90.0,63,162,31815.0,1505.0
119750,2209,0,954,6305,2,5,4.0,5.0,0.0,48,0,11520.0,0.0
173900,2814,1,1500,8846,2,6,0.0,5.0,0.0,115,35,64860.0,0.0
136500,2542,0,1050,10659,2,5,0.0,3.0,0.0,71,319,26128.0,1050.0
270000,2323,1,2687,13108,3,8,0.0,5.0,0.0,104,180,64272.0,0.0
235000,1393,0,1252,13500,2,6,4.0,4.0,0.0,70,409,39480.0,1602.0
156000,490,1,1430,7750,2,7,3.0,5.0,0.0,109,0,43600.0,0.0
153000,542,0,1114,12450,2,5,0.0,5.0,0.0,113,42,65664.0,1114.0
165000,973,0,1224,4500,2,6,0.0,5.0,425.0,109,304,43818.0,1224.0
325000,1012,1,2504,11198,3,9,4.0,5.0,245.0,115,183,75440.0,0.0
140000,2218,0,1355,6221,2,5,0.0,5.0,0.0,51,144,40128.0,0.0
202500,2033,0,2294,13200,1,6,4.0,2.0,234.0,73,110,48034.0,0.0
367294,1071,1,1702,8769,3,9,4.0,5.0,766.0,118,296,124136.0,1702.0
175000,1583,0,1509,10200,2,6,2.0,5.0,219.0,98,224,58800.0,1461.0
140000,2858,0,1717,9550,2,7,4.0,4.0,0.0,25,307,69336.0,756.0
174000,2265,0,1240,10331,2,7,0.0,4.0,0.0,95,232,50160.0,0.0
190000,1088,0,1166,9587,2,7,0.0,5.0,182.0,115,212,46000.0,856.0
129000,698,0,1464,9900,2,5,0.0,5.0,0.0,20,176,0.0,0.0
200000,1896,1,1652,22002,2,6,4.0,4.0,136.0,69,201,35190.0,1592.0
193500,628,1,2142,13000,2,6,4.0,3.0,576.0,78,324,39702.0,0.0
145000,1212,0,1092,8250,2,6,0.0,5.0,260.0,74,0,37296.0,1092.0
218000,2864,0,1671,8170,2,7,4.0,5.0,270.0,39,0,32923.0,0.0
135000,2740,0,1488,12048,2,5,5.0,4.0,232.0,62,573,63728.0,0.0
146500,2560,0,1624,10858,2,5,4.0,5.0,150.0,62,364,14880.0,1444.0
194700,1716,0,1362,7577,3,6,4.0,5.0,256.0,115,220,52900.0,0.0
230348,1130,0,1218,7500,2,7,0.0,5.0,210.0,117,336,54516.0,1218.0
109500,201,0,1068,6120,2,6,4.0,3.0,0.0,33,128,9504.0,1124.0
242500,2886,0,1625,23580,2,6,3.0,3.0,0.0,89,164,51264.0,0.0
239000,2328,0,1767,5306,3,7,3.0,4.0,0.0,97,476,48888.0,1064.0
156000,2583,0,1050,8092,2,6,0.0,5.0,176.0,64,0,18304.0,1050.0
109008,1206,0,907,8593,2,4,0.0,5.0,0.0,67,0,26048.0,0.0
68104,2242,0,845,11067,1,2,0.0,5.0,0.0,49,48,15360.0,0.0
290000,1105,1,2501,11929,3,8,3.0,5.0,466.0,105,279,78855.0,0.0
159000,121,0,1209,9900,2,5,0.0,4.0,0.0,76,120,38304.0,1209.0
87000,1223,0,906,4882,2,4,0.0,3.0,0.0,47,0,10857.0,0.0
272000,265,0,1601,11423,2,8,3.0,5.0,479.0,111,180,74370.0,1581.0
198000,2813,0,1336,8772,2,7,0.0,5.0,0.0,115,179,57730.0,1336.0
119164,1294,0,1656,7628,2,4,0.0,4.0,0.0,50,187,29920.0,0.0
93000,2745,0,1124,8335,2,5,4.0,4.0,0.0,64,226,0.0,0.0
226750,1094,1,1892,8220,2,7,3.0,5.0,647.0,110,108,47410.0,0.0
95000,651,0,1699,10615,2,3,0.0,3.0,0.0,10,74,12600.0,978.0
139900,198,1,1416,6000,2,6,0.0,3.0,0.0,58,269,18096.0,0.0
76500,131,0,1306,5350,2,3,0.0,5.0,0.0,50,263,0.0,0.0
86900,1258,0,672,5400,2,4,0.0,4.0,0.0,50,196,32956.0,0.0
152500,1599,0,1160,17979,2,5,0.0,5.0,0.0,78,81,20046.0,1113.0
99000,1508,0,930,9520,2,4,0.0,3.0,115.0,63,134,18018.0,0.0
82500,615,0,708,5330,2,4,0.0,4.0,0.0,50,164,0.0,0.0
179200,1815,0,1575,8012,2,6,0.0,4.0,0.0,102,52,53958.0,1575.0
142500,2712,0,1059,9000,2,5,0.0,4.0,0.0,76,88,21736.0,1059.0
115400,2051,0,1005,14299,2,4,0.0,3.0,0.0,74,0,32560.0,1005.0
226000,1863,1,1929,7050,2,7,3.0,5.0,0.0,111,235,72150.0,1057.0
144152,2510,1,1200,3180,2,7,0.0,5.0,0.0,115,166,55200.0,0.0
370000,1069,1,2690,16451,3,8,4.0,5.0,221.0,113,326,89835.0,0.0
149900,336,0,833,12887,2,5,0.0,3.0,0.0,94,431,46530.0,833.0
172785,2417,1,1456,15578,2,6,0.0,4.0,0.0,116,0,49764.0,0.0
129000,1962,0,864,7200,2,5,0.0,4.0,0.0,60,194,64800.0,864.0
181000,372,0,1586,17043,2,6,3.0,3.0,0.0,89,192,38715.0,0.0
148000,2578,0,1370,10000,2,5,3.0,5.0,272.0,66,311,19800.0,1058.0
117250,2824,0,914,8050,2,6,0.0,5.0,0.0,112,32,0.0,914.0
192500,471,0,1555,3182,2,7,3.0,5.0,16.0,115,163,49450.0,0.0
151000,1544,1,1556,1950,2,6,3.0,3.0,0.0,90,161,40680.0,716.0
112500,2141,0,882,7700,2,5,0.0,3.0,0.0,82,96,41490.0,882.0
144000,2008,0,1167,8731,2,5,4.0,3.0,0.0,30,342,40590.0,0.0
370967,1075,0,1800,8232,3,9,4.0,5.0,714.0,117,210,111392.0,1800.0
149900,34,1,1456,2280,2,6,3.0,3.0,0.0,85,173,37400.0,0.0
195000,847,1,1660,8935,2,7,0.0,5.0,95.0,112,212,55216.0,0.0
163900,1629,1,1482,9125,2,7,3.0,4.0,170.0,102,125,39984.0,0.0
182000,2073,0,1522,11075,2,6,3.0,5.0,136.0,94,245,51888.0,0.0
410000,960,0,2036,13438,2,9,5.0,5.0,246.0,118,244,92040.0,2190.0
152000,955,0,1595,11070,2,5,0.0,3.0,0.0,101,0,67872.0,1582.0
184000,2476,1,1686,7800,2,7,0.0,5.0,172.0,115,245,53130.0,0.0
206300,1590,0,1344,7060,2,7,0.0,5.0,200.0,107,0,83888.0,2688.0
146500,2913,0,1652,11836,2,5,0.0,3.0,0.0,80,0,74240.0,0.0
108000,149,0,1337,8382,2,4,0.0,3.0,0.0,66,0,17358.0,0.0
170000,2525,0,1920,10192,2,7,3.0,4.0,143.0,78,98,37986.0,0.0
145000,1470,0,848,4426,2,6,0.0,5.0,205.0,114,140,47880.0,848.0
123000,412,0,1055,2280,2,7,2.0,3.0,0.0,85,27,37400.0,0.0
173000,1399,0,1291,2887,2,6,4.0,5.0,0.0,106,307,45686.0,1291.0
105900,183,0,720,8520,2,6,0.0,4.0,0.0,38,106,55660.0,0.0
91000,974,0,988,1596,1,4,0.0,3.0,0.0,83,221,24651.0,462.0
158000,930,0,1523,15600,2,5,3.0,2.0,0.0,59,81,17405.0,1067.0
190000,881,1,1728,9313,2,7,0.0,5.0,0.0,114,243,65208.0,0.0
217500,1180,1,1239,11064,2,8,2.0,5.0,0.0,105,196,50085.0,1230.0
165500,1553,0,1955,9000,1,5,0.0,4.0,162.0,68,0,24208.0,0.0
174500,928,1,1564,12000,2,7,4.0,5.0,0.0,51,0,11934.0,0.0
100000,1512,0,1204,7692,2,4,0.0,4.0,0.0,64,0,19968.0,0.0
172000,3,1,1329,14267,2,6,0.0,3.0,108.0,68,429,21216.0,0.0
120000,2140,0,879,9675,2,5,0.0,3.0,0.0,85,80,37400.0,0.0
82000,553,0,841,8400,2,4,0.0,4.0,0.0,60,274,17640.0,0.0
127000,2594,1,1312,7500,2,6,0.0,5.0,0.0,57,28,40887.0,0.0
129500,1314,1,2058,9600,2,6,4.0,2.0,0.0,27,259,23760.0,0.0
187500,366,0,1360,5814,3,8,5.0,4.0,0.0,94,63,53110.0,1220.0
300000,1462,0,1786,14860,2,8,4.0,5.0,240.0,112,217,80080.0,1778.0
190000,2541,1,1993,14803,2,6,4.0,4.0,252.0,81,66,40095.0,0.0
96000,2088,0,1362,7550,2,4,0.0,2.0,0.0,30,0,8400.0,0.0
241000,527,0,1550,8125,2,7,0.0,5.0,100.0,116,168,51246.0,1092.0
143900,1824,1,1696,13673,2,5,3.0,3.0,0.0,72,30,25128.0,0.0
87550,2918,1,1092,1533,1,4,0.0,3.0,0.0,80,0,22880.0,0.0
319900,49,0,1752,7658,3,9,4.0,5.0,412.0,115,278,66240.0,1752.0
356383,2332,1,2473,12292,3,9,4.0,5.0,184.0,116,285,78300.0,0.0
239000,826,0,1800,11923,2,9,0.0,5.0,0.0,117,424,82134.0,0.0
287500,1108,1,2197,10010,3,7,4.0,5.0,320.0,103,484,80649.0,1080.0
128500,2041,1,1382,12358,2,5,0.0,3.0,0.0,51,237,66660.0,0.0
185088,57,1,1733,8577,2,7,4.0,5.0,0.0,114,192,49362.0,0.0
229800,520,0,1402,8640,2,7,0.0,5.0,0.0,118,331,73750.0,0.0
124500,2305,0,887,10447,2,5,0.0,3.0,0.0,94,140,27072.0,0.0
